# Historical E-commerce Data
# Monthly sales data for 2025
month,revenue,customers,avg_order_value,conversion_rate
2025-01,125000,850,147.06,0.028
2025-02,135000,900,150.00,0.029
2025-03,142000,950,149.47,0.030
2025-04,155000,1020,151.96,0.031
2025-05,168000,1100,152.73,0.032
2025-06,178000,1150,154.78,0.033
2025-07,185000,1200,154.17,0.033
2025-08,195000,1250,156.00,0.034
2025-09,208000,1320,157.58,0.035
2025-10,220000,1380,159.42,0.036
2025-11,235000,1450,162.07,0.037
2025-12,248000,1520,163.16,0.038
